SALES_ID,SALES_REP,EMAILS,BRANDS,PLANT_COST,UNIT_PRICE,QUANTITY,COST,PROFIT,COUNTRIES,REGION ,MONTHS,YEARS
110,Sorvino,sorvi2000@gmail.com,hero,150,200,777,155400,38850,Senegal,west,February,2017
111,Jones,jone.ai@yahoo.com,beta malt,80,150,848,127200,59360,Ghana,southsouth,March,2019
112,Andrews,andy@gmail.com,grand malt,90,150,874,131100,52440,Nigeria,northwest,April,2017
113,Jardine,jard@gmail.com,trophy,150,200,739,147800,36950,Togo,northeast ,May,2017
114,Thompson,thomp@uk.com,budweiser,250,500,704,352000,176000,Benin,northcentral ,June,2018
115,Jones,jone.ai@yahoo.com,castle lite,180,450,855,384750,230850,Senegal,Southeast,July,2019
116,Morgan,morganny@gmail.com,eagle lager,170,250,971,242750,77680,Ghana,west,August,2018
117,Howard,howard_freeman@yahoo.com,hero,150,200,957,191400,47850,Nigeria,southsouth,September,2019
118,Parent,parentty@uk.com,beta malt,80,150,769,115350,53830,Togo,northwest,October,2017
119,Jones,jone.ai@yahoo.com,grand malt,90,150,710,106500,42600,Benin,northeast ,November,2019
120,Smith,smithMan@yahoo.com,trophy,150,200,917,183400,45850,Senegal,northcentral ,December,2019
121,Jones,jone.ai@yahoo.com,budweiser,250,500,727,363500,181750,Ghana,Southeast,January,2017
122,Morgan,morganny@gmail.com,castle lite,180,450,768,345600,207360,Nigeria,west,February,2018
123,Jones,jone.ai@yahoo.com,eagle lager,170,250,870,217500,69600,Togo,southsouth,March,2019
124,Parent,parentty@uk.com,hero,150,200,914,182800,45700,Benin,northwest,April,2019
125,Kivell,kivel_go@yahoo.com,beta malt,80,150,763,114450,53410,Senegal,northeast ,May,2019
126,Smith,smithMan@yahoo.com,grand malt,90,150,951,142650,57060,Ghana,northcentral ,June,2017
127,Parent,parentty@uk.com,trophy,150,200,810,162000,40500,Nigeria,Southeast,July,2018
128,Gill,gillhell@uk.com,budweiser,250,500,886,443000,221500,Togo,west,August,2019
129,Smith,smithMan@yahoo.com,castle lite,180,450,984,442800,265680,Benin,southsouth,September,2018
130,Jones,jone.ai@yahoo.com,eagle lager,170,250,974,243500,77920,Senegal,northwest,October,2017
131,Sorvino,sorvi2000@gmail.com,hero,150,200,901,180200,45050,Ghana,northeast ,November,2019
132,Jardine,jard@gmail.com,beta malt,80,150,934,140100,65380,Nigeria,northcentral ,December,2019
133,Andrews,andy@gmail.com,grand malt,90,150,832,124800,49920,Togo,Southeast,January,2017
134,Howard,howard_freeman@yahoo.com,trophy,150,200,840,168000,42000,Benin,west,February,2018
135,Gill,gillhell@uk.com,budweiser,250,500,966,483000,241500,Senegal,southsouth,March,2017
136,Gill,gillhell@uk.com,castle lite,180,450,832,374400,224640,Ghana,northwest,April,2018
137,Kivell,kivel_go@yahoo.com,eagle lager,170,250,968,242000,77440,Nigeria,northeast ,May,2019
138,Jones,jone.ai@yahoo.com,hero,150,200,791,158200,39550,Togo,northcentral ,June,2019
139,Morgan,morganny@gmail.com,beta malt,80,150,774,116100,54180,Benin,Southeast,July,2018
140,Kivell,kivel_go@yahoo.com,grand malt,90,150,992,148800,59520,Senegal,west,August,2017
141,Sorvino,sorvi2000@gmail.com,trophy,150,200,881,176200,44050,Ghana,southsouth,September,2018
142,Gill,gillhell@uk.com,budweiser,250,500,975,487500,243750,Nigeria,northwest,October,2017
143,Sorvino,sorvi2000@gmail.com,castle lite,180,450,733,329850,197910,Togo,northeast ,November,2018
144,Thompson,thomp@uk.com,eagle lager,170,250,776,194000,62080,Benin,northcentral ,December,2017
145,Andrews,andy@gmail.com,hero,150,200,924,184800,46200,Senegal,Southeast,January,2019
146,Jardine,jard@gmail.com,beta malt,80,150,744,111600,52080,Ghana,west,February,2019
147,Jardine,jard@gmail.com,grand malt,90,150,754,113100,45240,Nigeria,southsouth,March,2019
148,Andrews,andy@gmail.com,trophy,150,200,792,158400,39600,Togo,northwest,April,2019
149,Jardine,jard@gmail.com,budweiser,250,500,838,419000,209500,Benin,northeast ,May,2017
150,Gill,gillhell@uk.com,castle lite,180,450,963,433350,260010,Senegal,northcentral ,June,2017
151,Sorvino,sorvi2000@gmail.com,eagle lager,170,250,995,248750,79600,Ghana,Southeast,July,2017
152,Jones,jone.ai@yahoo.com,hero,150,200,941,188200,47050,Nigeria,west,August,2017
153,Andrews,andy@gmail.com,beta malt,80,150,930,139500,65100,Togo,southsouth,September,2018
154,Jardine,jard@gmail.com,grand malt,90,150,780,117000,46800,Benin,northwest,October,2019
155,Thompson,thomp@uk.com,trophy,150,200,729,145800,36450,Senegal,northeast ,November,2019
156,Jones,jone.ai@yahoo.com,budweiser,250,500,909,454500,227250,Ghana,northcentral ,December,2019
157,Morgan,morganny@gmail.com,castle lite,180,450,961,432450,259470,Nigeria,Southeast,January,2018
158,Howard,howard_freeman@yahoo.com,eagle lager,170,250,729,182250,58320,Togo,west,February,2018
159,Parent,parentty@uk.com,hero,150,200,944,188800,47200,Benin,southsouth,March,2019
160,Jones,jone.ai@yahoo.com,beta malt,80,150,981,147150,68670,Senegal,northwest,April,2017
161,Smith,smithMan@yahoo.com,grand malt,90,150,763,114450,45780,Ghana,northeast ,May,2018
162,Jones,jone.ai@yahoo.com,trophy,150,200,885,177000,44250,Nigeria,northcentral ,June,2017
163,Morgan,morganny@gmail.com,budweiser,250,500,854,427000,213500,Togo,Southeast,July,2018
164,Jones,jone.ai@yahoo.com,castle lite,180,450,727,327150,196290,Benin,west,August,2018
165,Parent,parentty@uk.com,eagle lager,170,250,991,247750,79280,Senegal,southsouth,September,2018
166,Kivell,kivel_go@yahoo.com,hero,150,200,792,158400,39600,Ghana,northwest,October,2019
167,Smith,smithMan@yahoo.com,beta malt,80,150,898,134700,62860,Nigeria,northeast ,November,2019
168,Parent,parentty@uk.com,grand malt,90,150,945,141750,56700,Togo,northcentral ,December,2019
169,Gill,gillhell@uk.com,trophy,150,200,814,162800,40700,Benin,Southeast,January,2019
170,Smith,smithMan@yahoo.com,budweiser,250,500,863,431500,215750,Senegal,west,February,2018
171,Jones,jone.ai@yahoo.com,castle lite,180,450,829,373050,223830,Ghana,southsouth,March,2019
172,Sorvino,sorvi2000@gmail.com,eagle lager,170,250,747,186750,59760,Nigeria,northwest,April,2017
173,Jardine,jard@gmail.com,hero,150,200,961,192200,48050,Togo,northeast ,May,2018
174,Andrews,andy@gmail.com,beta malt,80,150,803,120450,56210,Benin,northcentral ,June,2019
175,Howard,howard_freeman@yahoo.com,grand malt,90,150,875,131250,52500,Senegal,Southeast,July,2017
176,Gill,gillhell@uk.com,trophy,150,200,750,150000,37500,Ghana,west,August,2018
177,Gill,gillhell@uk.com,budweiser,250,500,850,425000,212500,Nigeria,southsouth,September,2017
178,Kivell,kivel_go@yahoo.com,castle lite,180,450,710,319500,191700,Togo,northwest,October,2018
179,Jones,jone.ai@yahoo.com,eagle lager,170,250,881,220250,70480,Benin,northeast ,November,2017
180,Morgan,morganny@gmail.com,hero,150,200,777,155400,38850,Senegal,northcentral ,December,2018
181,Kivell,kivel_go@yahoo.com,beta malt,80,150,708,106200,49560,Ghana,Southeast,January,2017
182,Sorvino,sorvi2000@gmail.com,grand malt,90,150,996,149400,59760,Nigeria,west,February,2019
183,Gill,gillhell@uk.com,trophy,150,200,870,174000,43500,Togo,southsouth,March,2019
184,Sorvino,sorvi2000@gmail.com,budweiser,250,500,972,486000,243000,Benin,northwest,April,2019
185,Thompson,thomp@uk.com,castle lite,180,450,989,445050,267030,Senegal,northeast ,May,2018
186,Andrews,andy@gmail.com,eagle lager,170,250,936,234000,74880,Ghana,northcentral ,June,2018
187,Jardine,jard@gmail.com,hero,150,200,1000,200000,50000,Nigeria,Southeast,July,2017
188,Jardine,jard@gmail.com,beta malt,80,150,947,142050,66290,Togo,west,August,2018
189,Andrews,andy@gmail.com,grand malt,90,150,762,114300,45720,Benin,southsouth,September,2019
190,Jones,jone.ai@yahoo.com,trophy,150,200,742,148400,37100,Senegal,northwest,October,2017
191,Morgan,morganny@gmail.com,budweiser,250,500,902,451000,225500,Ghana,northeast ,November,2019
192,Kivell,kivel_go@yahoo.com,castle lite,180,450,840,378000,226800,Nigeria,northcentral ,December,2018
193,Sorvino,sorvi2000@gmail.com,eagle lager,170,250,773,193250,61840,Togo,Southeast,January,2017
194,Gill,gillhell@uk.com,hero,150,200,934,186800,46700,Benin,west,February,2018
195,Sorvino,sorvi2000@gmail.com,beta malt,80,150,983,147450,68810,Senegal,southsouth,March,2017
196,Thompson,thomp@uk.com,grand malt,90,150,729,109350,43740,Ghana,northwest,April,2018
197,Andrews,andy@gmail.com,trophy,150,200,786,157200,39300,Nigeria,northeast ,May,2017
198,Jardine,jard@gmail.com,budweiser,250,500,843,421500,210750,Togo,northcentral ,June,2018
199,Jardine,jard@gmail.com,castle lite,180,450,897,403650,242190,Benin,Southeast,July,2017
200,Andrews,andy@gmail.com,eagle lager,170,250,733,183250,58640,Senegal,west,August,2018
201,Jardine,jard@gmail.com,hero,150,200,939,187800,46950,Ghana,southsouth,September,2019
202,Gill,gillhell@uk.com,beta malt,80,150,836,125400,58520,Nigeria,northwest,October,2017
203,Sorvino,sorvi2000@gmail.com,grand malt,90,150,874,131100,52440,Togo,northeast ,November,2018
204,Jones,jone.ai@yahoo.com,trophy,150,200,764,152800,38200,Benin,northcentral ,December,2018
205,Andrews,andy@gmail.com,budweiser,250,500,920,460000,230000,Senegal,Southeast,January,2019
206,Jardine,jard@gmail.com,castle lite,180,450,950,427500,256500,Ghana,west,February,2017
207,Thompson,thomp@uk.com,eagle lager,170,250,841,210250,67280,Nigeria,southsouth,March,2017
208,Jones,jone.ai@yahoo.com,hero,150,200,801,160200,40050,Togo,northwest,April,2017
209,Morgan,morganny@gmail.com,beta malt,80,150,867,130050,60690,Benin,northeast ,May,2018
210,Howard,howard_freeman@yahoo.com,grand malt,90,150,721,108150,43260,Senegal,northcentral ,June,2017
211,Parent,parentty@uk.com,trophy,150,200,755,151000,37750,Ghana,Southeast,July,2017
212,Jones,jone.ai@yahoo.com,budweiser,250,500,937,468500,234250,Nigeria,west,August,2018
213,Smith,smithMan@yahoo.com,castle lite,180,450,865,389250,233550,Togo,southsouth,September,2017
214,Jones,jone.ai@yahoo.com,eagle lager,170,250,736,184000,58880,Benin,northwest,October,2018
215,Jardine,jard@gmail.com,hero,150,200,982,196400,49100,Senegal,northeast ,November,2017
216,Gill,gillhell@uk.com,beta malt,80,150,850,127500,59500,Ghana,northcentral ,December,2017
217,Sorvino,sorvi2000@gmail.com,grand malt,90,150,754,113100,45240,Nigeria,Southeast,January,2017
218,Jones,jone.ai@yahoo.com,trophy,150,200,912,182400,45600,Togo,west,February,2018
219,Andrews,andy@gmail.com,budweiser,250,500,881,440500,220250,Benin,southsouth,March,2017
220,Jardine,jard@gmail.com,castle lite,180,450,818,368100,220860,Senegal,northwest,April,2017
221,Thompson,thomp@uk.com,eagle lager,170,250,781,195250,62480,Ghana,northeast ,May,2017
222,Jones,jone.ai@yahoo.com,hero,150,200,910,182000,45500,Nigeria,northcentral ,June,2018
223,Morgan,morganny@gmail.com,beta malt,80,150,704,105600,49280,Togo,Southeast,July,2019
224,Howard,howard_freeman@yahoo.com,grand malt,90,150,824,123600,49440,Benin,west,August,2018
225,Parent,parentty@uk.com,trophy,150,200,710,142000,35500,Senegal,southsouth,September,2019
226,Jones,jone.ai@yahoo.com,budweiser,250,500,913,456500,228250,Ghana,northwest,October,2018
227,Smith,smithMan@yahoo.com,castle lite,180,450,983,442350,265410,Nigeria,northeast ,November,2018
228,Jones,jone.ai@yahoo.com,eagle lager,170,250,706,176500,56480,Togo,northcentral ,December,2019
229,Morgan,morganny@gmail.com,hero,150,200,819,163800,40950,Benin,Southeast,January,2018
230,Jones,jone.ai@yahoo.com,beta malt,80,150,762,114300,53340,Senegal,west,February,2018
231,Parent,parentty@uk.com,grand malt,90,150,760,114000,45600,Ghana,southsouth,March,2019
232,Kivell,kivel_go@yahoo.com,trophy,150,200,872,174400,43600,Nigeria,northwest,April,2019
233,Smith,smithMan@yahoo.com,budweiser,250,500,723,361500,180750,Togo,northeast ,May,2019
234,Parent,parentty@uk.com,castle lite,180,450,913,410850,246510,Benin,northcentral ,June,2019
235,Gill,gillhell@uk.com,eagle lager,170,250,852,213000,68160,Senegal,Southeast,July,2017
236,Smith,smithMan@yahoo.com,hero,150,200,856,171200,42800,Ghana,west,August,2019
237,Jones,jone.ai@yahoo.com,beta malt,80,150,827,124050,57890,Nigeria,southsouth,September,2019
238,Sorvino,sorvi2000@gmail.com,grand malt,90,150,735,110250,44100,Togo,northwest,October,2017
239,Jardine,jard@gmail.com,trophy,150,200,819,163800,40950,Benin,northeast ,November,2019
240,Andrews,andy@gmail.com,budweiser,250,500,882,441000,220500,Senegal,northcentral ,December,2018
241,Howard,howard_freeman@yahoo.com,castle lite,180,450,897,403650,242190,Ghana,Southeast,January,2017
242,Gill,gillhell@uk.com,eagle lager,170,250,922,230500,73760,Nigeria,west,February,2018
243,Gill,gillhell@uk.com,hero,150,200,838,167600,41900,Togo,southsouth,March,2017
244,Kivell,kivel_go@yahoo.com,beta malt,80,150,859,128850,60130,Benin,northwest,April,2018
245,Jones,jone.ai@yahoo.com,grand malt,90,150,950,142500,57000,Senegal,northeast ,May,2017
246,Morgan,morganny@gmail.com,trophy,150,200,706,141200,35300,Ghana,northcentral ,June,2019
247,Kivell,kivel_go@yahoo.com,budweiser,250,500,702,351000,175500,Nigeria,Southeast,July,2018
248,Sorvino,sorvi2000@gmail.com,castle lite,180,450,899,404550,242730,Togo,west,August,2019
249,Gill,gillhell@uk.com,eagle lager,170,250,738,184500,59040,Benin,southsouth,September,2019
250,Sorvino,sorvi2000@gmail.com,hero,150,200,917,183400,45850,Senegal,northwest,October,2017
251,Thompson,thomp@uk.com,beta malt,80,150,783,117450,54810,Ghana,northeast ,November,2019
252,Andrews,andy@gmail.com,grand malt,90,150,831,124650,49860,Nigeria,northcentral ,December,2019
253,Jardine,jard@gmail.com,trophy,150,200,869,173800,43450,Togo,Southeast,January,2019
254,Jardine,jard@gmail.com,budweiser,250,500,750,375000,187500,Benin,west,February,2017
255,Andrews,andy@gmail.com,castle lite,180,450,931,418950,251370,Senegal,southsouth,March,2019
256,Jardine,jard@gmail.com,eagle lager,170,250,972,243000,77760,Ghana,northwest,April,2017
257,Gill,gillhell@uk.com,hero,150,200,985,197000,49250,Nigeria,northeast ,May,2017
258,Sorvino,sorvi2000@gmail.com,beta malt,80,150,826,123900,57820,Togo,northcentral ,June,2018
259,Jones,jone.ai@yahoo.com,grand malt,90,150,907,136050,54420,Benin,Southeast,July,2018
260,Andrews,andy@gmail.com,trophy,150,200,704,140800,35200,Senegal,west,August,2019
261,Jardine,jard@gmail.com,budweiser,250,500,719,359500,179750,Ghana,southsouth,September,2019
262,Thompson,thomp@uk.com,castle lite,180,450,718,323100,193860,Nigeria,northwest,October,2018
263,Jones,jone.ai@yahoo.com,eagle lager,170,250,879,219750,70320,Togo,northeast ,November,2017
264,Morgan,morganny@gmail.com,hero,150,200,816,163200,40800,Benin,northcentral ,December,2017
265,Howard,howard_freeman@yahoo.com,beta malt,80,150,803,120450,56210,Senegal,Southeast,January,2017
266,Parent,parentty@uk.com,grand malt,90,150,744,111600,44640,Ghana,west,February,2018
267,Jones,jone.ai@yahoo.com,trophy,150,200,912,182400,45600,Nigeria,southsouth,March,2017
268,Smith,smithMan@yahoo.com,budweiser,250,500,801,400500,200250,Togo,northwest,April,2018
269,Jones,jone.ai@yahoo.com,castle lite,180,450,720,324000,194400,Benin,northeast ,May,2018
270,Morgan,morganny@gmail.com,eagle lager,170,250,983,245750,78640,Senegal,northcentral ,June,2019
271,Jones,jone.ai@yahoo.com,hero,150,200,989,197800,49450,Ghana,Southeast,July,2019
272,Parent,parentty@uk.com,beta malt,80,150,996,149400,69720,Nigeria,west,August,2018
273,Kivell,kivel_go@yahoo.com,grand malt,90,150,801,120150,48060,Togo,southsouth,September,2017
274,Smith,smithMan@yahoo.com,trophy,150,200,857,171400,42850,Benin,northwest,October,2019
275,Parent,parentty@uk.com,budweiser,250,500,928,464000,232000,Senegal,northeast ,November,2018
276,Gill,gillhell@uk.com,castle lite,180,450,788,354600,212760,Ghana,northcentral ,December,2019
277,Smith,smithMan@yahoo.com,eagle lager,170,250,795,198750,63600,Nigeria,Southeast,January,2017
278,Jones,jone.ai@yahoo.com,hero,150,200,865,173000,43250,Togo,west,February,2019
279,Sorvino,sorvi2000@gmail.com,beta malt,80,150,798,119700,55860,Benin,southsouth,March,2018
280,Jardine,jard@gmail.com,grand malt,90,150,728,109200,43680,Senegal,northwest,April,2018
281,Andrews,andy@gmail.com,trophy,150,200,948,189600,47400,Ghana,northeast ,May,2019
282,Howard,howard_freeman@yahoo.com,budweiser,250,500,863,431500,215750,Nigeria,northcentral ,June,2017
283,Gill,gillhell@uk.com,castle lite,180,450,913,410850,246510,Togo,Southeast,July,2019
284,Gill,gillhell@uk.com,eagle lager,170,250,711,177750,56880,Benin,west,August,2018
